,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
2842,"KLCC, Kuala Lumpur",336000.0,5.0,2.0,Condo,Land area : 2497 sq. ft.,Fully Furnished,5
2843,"KLCC, Kuala Lumpur",315000.0,5.0,2.0,Condo,Land area : 2098 sq. ft.,Fully Furnished,4
2844,"KLCC, Kuala Lumpur",357000.0,5.0,2.0,Condo,Land area : 2315 sq. ft.,Fully Furnished,5
2846,"KLCC, Kuala Lumpur",525000.0,6.0,3.0,Residence,Land area : 3283 sq. ft.,Partly Furnished,5
2847,"Bukit Tunku (Kenny Hills), Kuala Lumpur",462000.0,5.0,3.0,Condo,Land area : 2939 sq. ft.,Partly Furnished,4
2848,"Bangsar South, Kuala Lumpur",205800.0,2.0,2.0,Condo,"Built-up : 1,260 sq. ft.",Partly Furnished,3
2849,"Damansara Heights, Kuala Lumpur",83790.0,1.0,1.0,Residence,Built-up : 520 sq. ft.,Fully Furnished,1
2851,"Cheras, Kuala Lumpur",80850.0,2.0,1.0,Condo,Built-up : 960 sq. ft.,Fully Furnished,3
2852,"Setapak, Kuala Lumpur",62580.0,2.0,1.0,Condo,Built-up : 931 sq. ft.,Partly Furnished,3
2853,"Sentul, Kuala Lumpur",67200.0,2.0,1.0,Condo,Built-up : 877 sq. ft.,Partly Furnished,3
2854,"Bukit Jalil, Kuala Lumpur",154980.0,3.0,2.0,Condo,"Built-up : 1,457 sq. ft.",Fully Furnished,4
2856,"City Centre, Kuala Lumpur",167790.0,3.0,2.0,Condo,"Built-up : 1,626 sq. ft.",Fully Furnished,4
2857,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",121800.0,4.0,1.0,Condo,"Built-up : 1,268 sq. ft.",Partly Furnished,4
2858,"Bukit Tunku (Kenny Hills), Kuala Lumpur",378000.0,5.0,4.0,Condo,"Built-up : 2,400 sq. ft.",Partly Furnished,5
2859,"KLCC, Kuala Lumpur",294000.0,2.0,1.0,Residence,"Built-up : 1,410 sq. ft.",Fully Furnished,2
2862,"Cheras, Kuala Lumpur",199500.0,3.0,2.0,Terrace/Link,Land area : 2500 sq. ft.,Partly Furnished,5
2867,"Mont Kiara, Kuala Lumpur",483000.0,4.0,4.0,Condo,"Built-up : 3,000 sq. ft.",Fully Furnished,5
2868,"Mont Kiara, Kuala Lumpur",451500.0,4.0,4.0,Condo,"Built-up : 2,535 sq. ft.",Fully Furnished,4
2869,"KL Eco City, Kuala Lumpur",214200.0,1.0,1.0,Condo,Built-up : 797 sq. ft.,Partly Furnished,2
2872,"Kuchai Lama, Kuala Lumpur",168000.0,4.0,2.0,Condo,"Built-up : 1,690 sq. ft.",Partly Furnished,3
2873,"Kuchai Lama, Kuala Lumpur",201600.0,4.0,2.0,Condo,"Built-up : 2,045 sq. ft.",Fully Furnished,4
2874,"Setapak, Kuala Lumpur",96600.0,2.0,1.0,Condo,Built-up : 999 sq. ft.,Partly Furnished,3
2878,"Kepong, Kuala Lumpur",192780.0,3.0,2.0,Terrace/Link,Land area : 20x70 sq. ft.,Partly Furnished,4
2881,"Mont Kiara, Kuala Lumpur",556500.0,5.0,3.0,Condo,"Built-up : 3,169 sq. ft.",Partly Furnished,5
2882,"Mont Kiara, Kuala Lumpur",283500.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Partly Furnished,3
2883,"Sungai Besi, Kuala Lumpur",109200.0,2.0,1.0,Condo,"Built-up : 1,044 sq. ft.",Partly Furnished,3
2885,"Bukit Jalil, Kuala Lumpur",226800.0,3.0,2.0,Residence,"Built-up : 1,521 sq. ft.",Partly Furnished,3
2886,"Bukit Bintang, Kuala Lumpur",216300.0,3.0,1.0,Residence,"Built-up : 1,013 sq. ft.",Fully Furnished,3
2888,"Sri Petaling, Kuala Lumpur",77700.0,2.0,1.0,Terrace/Link,Land area : 14X55 sq. ft.,Partly Furnished,2
2891,"Mont Kiara, Kuala Lumpur",630000.0,5.0,3.0,Condo,"Built-up : 3,704 sq. ft.",Partly Furnished,5
2892,"KL City, Kuala Lumpur",133980.0,3.0,1.0,Others,Land area : 1500 sq. ft.,Partly Furnished,4
2894,"Sri Petaling, Kuala Lumpur",88200.0,2.0,2.0,Terrace/Link,Land area : 14x60 sq. ft.,Partly Furnished,3
2896,"Sri Petaling, Kuala Lumpur",86100.0,2.0,2.0,Terrace/Link,Land area : 14x55 sq. ft.,Partly Furnished,3
2897,"Sri Petaling, Kuala Lumpur",167790.0,3.0,4.0,Terrace/Link,Land area : 22x80 sq. ft.,Partly Furnished,5
2898,"Kepong, Kuala Lumpur",116970.0,2.0,2.0,Residence,"Built-up : 1,027 sq. ft.",Partly Furnished,3
2899,"Wangsa Maju, Kuala Lumpur",149100.0,3.0,2.0,Condo,"Built-up : 1,647 sq. ft.",Fully Furnished,4
2900,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",111300.0,3.0,2.0,Condo,"Built-up : 1,208 sq. ft.",Partly Furnished,4
2901,"Desa ParkCity, Kuala Lumpur",438900.0,4.0,2.0,Terrace/Link,"Built-up : 2,500 sq. ft.",Partly Furnished,4
2903,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",129780.0,2.0,1.0,Residence,Built-up : 852 sq. ft.,Fully Furnished,2
2905,"Sentul, Kuala Lumpur",157080.0,2.0,1.0,Condo,Built-up : 880 sq. ft.,Unfurnished,2
2906,"Sentul, Kuala Lumpur",178500.0,2.0,1.0,Condo,"Built-up : 1,381 sq. ft.",Partly Furnished,3
2907,"Bukit Jalil, Kuala Lumpur",103950.0,1.0,1.0,Residence,Built-up : 667 sq. ft.,Partly Furnished,2
2908,"Kepong, Kuala Lumpur",151200.0,2.0,2.0,Condo,"Built-up : 1,432 sq. ft.",Partly Furnished,4
